champion,opponentChampion,kills,deaths,assists,win,killParticipation,csdiff14min,jungleCsdiff14,turretPlatesTaken,golddiff14min,xpDiff14,dmgChamps14,totalDmgChamps,teamDamagePercentage,visionScore,visionScorePerMinute,visionWardsBoughtInGame,controlWardsPlaced,wardTakedowns,wardsPlaced,completeSupportQuestInTime
Rumble,Ornn,3,4,1,0,57.14285714285714,18,0,2,678,617,7516,9101,26.03864532590204,11,0.7062530567729234,3,2,0,5,0
Gnar,Udyr,3,1,6,1,36.0,-4,-2,0,-783,-162,8097,18787,18.518496308313694,19,0.7634362084350096,5,3,5,9,0
Renekton,Rumble,4,3,3,1,30.434782608695656,8,0,1,266,641,6347,13475,19.881525025177417,28,1.1860793372441492,4,4,7,6,0
Camille,Sion,2,4,4,0,66.66666666666666,-3,0,0,-728,-697,10001,16497,27.131931575935813,17,0.7534506180848549,3,3,2,8,0
Aurora,Kennen,2,6,4,0,30.0,-14,0,1,-1423,-1843,4056,14968,25.540274869064472,18,0.7915916616092344,2,2,4,6,0
Jayce,Poppy,2,0,1,1,17.647058823529413,30,0,5,2191,978,6379,6379,17.252344994950665,6,0.3941757893956824,0,0,0,5,0
Yasuo,Quinn,0,6,0,0,0.0,39,0,0,-1014,586,3864,3864,13.246391044199108,9,0.6289666476616207,2,2,0,6,0
Irelia,Aatrox,1,3,4,1,23.809523809523807,22,0,0,467,142,8108,9948,19.32232260347473,10,0.6647246037670338,2,2,0,8,0
Aatrox,Jayce,6,7,7,1,30.952380952380956,-39,0,1,-1123,-574,6383,23719,16.713552936453453,23,0.8203481107275469,8,3,1,11,0
Lucian,Aurora,14,2,5,1,52.77777777777778,-4,0,2,13,-154,6653,33777,25.845797826609445,34,0.9830846704361206,2,1,7,14,0
Aatrox,Zed,6,2,1,0,36.84210526315789,56,0,3,1370,1019,7413,16963,24.386254639847383,17,0.7332009770458461,5,5,0,9,0
Rumble,Irelia,7,2,9,1,55.172413793103445,-7,0,5,1191,1268,12725,22399,33.68428989018841,18,0.944936817883406,4,4,0,8,0
Lucian,Kennen,4,1,1,0,45.45454545454545,19,0,2,733,-95,9146,11533,27.416519729489732,13,0.8336735522420285,1,1,1,6,0
Jax,Renekton,6,7,14,1,50.0,-23,0,5,-492,-973,10050,49062,19.333355129385275,42,0.951498843903617,7,6,4,22,0
Kennen,Jax,5,2,9,1,45.16129032258064,53,0,4,1528,1359,9221,31114,27.964893191961487,25,0.8596320354662799,0,0,11,5,0
Irelia,Kennen,8,9,9,0,40.47619047619048,-7,0,0,-695,-1040,4906,21890,18.205796492398427,24,0.7943827062494806,4,4,3,10,0
Kennen,Gnar,9,4,8,1,42.5,3,0,3,1779,869,11063,28740,23.748479171984297,33,1.1902006916667034,5,5,7,8,0
Rumble,Tryndamere,5,3,4,0,75.0,2,0,2,1384,921,15432,21370,41.44275404251734,10,0.5785467635887864,2,2,0,5,0
KSante,Gwen,5,0,9,1,53.84615384615385,-2,-1,5,797,188,6948,21266,24.325372545948184,34,0.9919683410785904,4,4,6,9,0
KSante,Jax,3,0,8,1,50.0,13,0,1,314,216,6985,15998,23.896074303079708,19,0.9616783005471856,4,4,1,10,0
KSante,Renekton,9,3,6,1,51.72413793103448,20,0,5,2220,1139,9687,31077,32.41906574632368,18,0.753408378251239,3,3,0,7,0
Fiora,Nocturne,9,5,2,0,44.0,20,-4,5,1552,283,6102,28712,35.078610444069355,18,0.5887459062976308,2,2,4,6,0
Viego,Vladimir,10,1,1,1,40.74074074074074,-5,0,2,22,683,7025,15415,19.82152623291897,25,1.031515677028454,5,2,4,10,0
Jax,Udyr,4,2,2,1,20.0,5,0,4,509,967,6308,16175,17.408935003534552,23,0.924480012922159,3,3,2,12,0
Viego,Darius,9,1,1,1,45.45454545454545,72,0,5,5401,5036,12166,16267,36.9642565036586,14,0.9463853039955572,6,3,0,7,0
Tryndamere,Camille,4,4,4,0,42.10526315789473,43,-2,8,1840,1557,5908,20916,24.45979454339464,23,0.9783070081332697,4,3,2,9,0
Fiora,KSante,17,4,3,1,51.28205128205128,13,0,5,1762,405,10238,36473,34.01621602687213,24,1.0359964888445965,2,2,4,10,0
Sylas,Aurora,2,8,4,0,46.15384615384615,-50,0,0,-2732,-1600,7178,12344,18.61157624926148,19,0.8546090388879812,2,2,3,7,0
Nasus,Kennen,8,6,9,1,53.125,-9,0,0,-33,-564,9297,27120,22.289084219920767,31,1.0003924891174645,6,5,5,13,0
Fiora,Irelia,2,11,0,0,18.181818181818183,-65,-4,0,-3898,-3847,8181,12900,27.68151625649938,14,0.7491785913630407,1,1,2,5,0
Fiora,Jayce,17,7,7,1,61.53846153846154,10,0,6,2585,1595,9273,42583,33.99569436438471,35,1.0820379316917612,3,3,5,7,0
KSante,Vladimir,5,9,4,0,52.94117647058824,5,0,1,493,-392,11006,22111,29.546923453536365,23,0.8999398035530575,5,5,2,11,0
Irelia,Cassiopeia,8,7,7,1,60.0,14,0,1,1165,1429,9775,22644,25.009818399622645,19,0.831885655831035,3,2,1,9,0
KSante,Fiora,10,0,2,1,46.15384615384615,2,0,4,1290,1942,8933,17782,24.776942529671512,20,0.778924096696298,5,5,3,10,0
Irelia,Heimerdinger,2,8,0,0,33.33333333333333,-24,-4,0,-3512,-2638,5360,6419,24.03274653922562,9,0.6101473549963542,1,1,0,6,0
Fiora,Aatrox,11,2,2,1,52.0,33,-2,5,2808,1685,12807,24993,40.53233442610588,14,0.7504120137419399,2,2,0,7,0
Camille,Jax,12,7,11,0,76.66666666666667,14,0,0,297,1569,9119,37453,35.41601279081815,33,1.0156755370089363,4,4,9,9,0
Aatrox,Nasus,2,2,1,0,33.33333333333333,25,0,3,1191,1020,8328,10013,28.23791376304971,12,0.7854741826600209,3,1,1,5,0
Jax,Udyr,2,7,0,0,25.0,8,0,2,-563,-495,9068,17347,32.180636908438814,13,0.5598377897619705,3,2,0,10,0
KSante,Aatrox,5,3,7,1,38.70967741935484,38,0,4,2105,2634,12801,19351,22.84452590629657,22,1.1441477099045674,3,3,2,7,0
Aatrox,Warwick,2,13,6,0,47.05882352941176,-3,0,0,-1845,-1566,9951,22596,23.00429402502058,19,0.7567845828512269,3,2,1,11,0
Kennen,Warwick,2,10,3,0,27.77777777777778,-17,-6,1,-2694,-1328,9986,23796,28.54460705000176,24,0.9696690485713824,5,5,5,10,0
KSante,Graves,5,3,3,1,38.095238095238095,16,0,1,994,2264,7220,16449,18.566926140080923,39,1.1859367293046432,7,7,6,12,0
Jax,Rengar,7,1,4,1,47.82608695652174,11,0,5,2980,2021,12207,17809,36.701475481888565,10,0.6753612107797611,1,1,0,7,0
Jax,Kennen,2,5,2,0,40.0,-58,0,0,-3401,-2205,5929,8348,16.290971236569025,19,0.9260996607742394,2,2,1,8,0
Aatrox,Gangplank,23,5,8,0,70.45454545454545,7,0,2,1779,710,13742,70655,48.49652232402892,24,0.7583548151821201,4,4,4,9,0
Jayce,Fiora,7,7,3,0,41.66666666666667,20,-4,0,-1402,-510,9472,25175,24.444866795263263,25,1.0342036018883192,2,2,3,10,0
Akali,Aurora,7,3,5,1,54.54545454545454,-8,0,0,134,-292,6642,19677,26.84172919089975,20,0.7864863100960124,3,2,4,7,0
Sylas,Aatrox,3,7,5,1,24.24242424242424,25,0,1,420,1324,11634,31191,28.18290746424648,27,1.140606241609011,4,4,5,8,0
